Player,Span,Matches,Innings,Runs,Average,highestscore,100s,50s
HDRL Thirimanne (SL),2010-2022,197,211,5573,29.48,155*,7,31
RR Pant (IND),2017-2025,156,179,5556,34.94,159*,9,26
WW Hinds (WI),1999-2010,169,196,5518,29.98,213,10,28
MJ Prior (ENG),2004-2014,157,193,5508,34.21,131*,7,31
L Klusener (SA),1996-2004,220,206,5482,37.8,174,6,27
WTS Porterfield (IRE),2006-2022,212,210,5480,27.26,139,11,23
Mominul Haque (BAN),2012-2025,109,169,5476,34.87,181,13,28
D Elgar (SA),2012-2024,94,159,5451,37.08,199,14,23
HM Nicholls (NZ),2015-2025,149,178,5441,35.79,200*,11,27
JB Hobbs (ENG),1908-1930,61,102,5410,56.94,211,15,28
JH Edrich (ENG),1963-1976,84,133,5361,43.23,310*,12,26
HC Brook (ENG),2022-2026,122,139,5360,43.57,317,12,26
SE Marsh (AUS),2008-2019,126,155,5293,35.76,182,13,25
AL Logie (WI),1981-1993,210,211,5279,31.8,130,3,30
PJL Dujon (WI),1981-1991,250,235,5267,28.01,139,5,22
WM Lawry (AUS),1961-1971,68,124,5261,46.97,210,13,27
AI Kallicharran (WI),1972-1981,97,137,5225,42.47,187,12,27
JC Adams (WI),1992-2001,181,195,5216,34.77,208*,6,28
Salman Butt (PAK),2003-2010,135,163,5209,33.17,136,11,27
T Taibu (Afr/ZIM),2001-2012,195,206,5198,29.53,153,3,34
Habibul Bashar (BAN),1995-2008,161,204,5194,26.23,113,3,38
SL Campbell (WI),1994-2002,142,180,5165,29.34,208,6,32
CZ Harris (NZ),1990-2004,273,255,5156,27.28,130,1,21
WPUJC Vaas (Asia/SL),1994-2009,439,384,5147,18.64,100*,1,14
HH Dippenaar (Afr/SA),1999-2007,146,158,5140,36.97,177*,7,33
AD Hales (ENG),2011-2022,156,163,5066,33.32,171,7,31
Ahmed Shehzad (PAK),2009-2019,153,165,5058,31.41,176,10,25
Rahmat Shah (AFG),2013-2025,137,142,5007,36.81,234,8,37
Najmul Hossain Shanto (BAN),2017-2025,147,178,4990,29.7,163,11,19
HE van der Dussen (SA),2018-2025,146,150,4968,39.74,134,6,33
ND McKenzie (SA),2000-2009,124,150,4948,37.48,226,7,26
HH Streak (Afr/ZIM),1993-2005,254,266,4933,25.55,127*,1,24
HG Munsey (SCOT),2015-2025,151,148,4932,37.08,191,5,31
GJ Whittall (ZIM),1993-2003,193,224,4912,25.18,203*,4,21
RB Simpson (AUS),1957-1978,64,113,4905,46.27,311,10,27
TW Graveney (ENG),1951-1969,79,123,4882,44.38,258,11,20
Muhammad Waseem (UAE),2021-2025,156,156,4882,32.33,119,4,34
DS Lehmann (AUS),1996-2005,144,143,4876,40.97,177,9,27
Sir RJ Hadlee (NZ),1973-1990,201,232,4875,24.87,151*,2,19
Imam-ul-Haq (PAK),2017-2025,103,126,4860,42.26,157,12,30
RW Marsh (AUS),1970-1984,188,226,4858,24.53,132,3,20
AT Carey (AUS),2018-2026,175,179,4845,31.66,156,4,26
Mohammad Shahzad (AFG),2009-2023,159,161,4844,31.25,131*,7,26
N Dickwella (SL),2014-2023,137,175,4841,29.16,116,2,32
BM Duckett (ENG),2016-2026,94,131,4838,38.7,182,9,27
SS Iyer (IND),2017-2025,138,138,4832,40.6,128*,6,36
IR Redpath (AUS),1964-1976,71,125,4783,41.95,171,8,31
Majid Khan (PAK),1964-1983,86,128,4717,38.66,167,9,26
JDP Oram (NZ),2001-2012,229,205,4688,27.09,133,6,21
AG Prince (Afr/SA),2002-2011,119,146,4688,39.72,162*,11,14
KJ Coetzer (SCOT),2008-2023,159,155,4687,31.66,156,5,27
MS Wade (AUS),2011-2024,225,214,4682,27.38,117,5,19
PV Simmons (WI),1987-1999,169,185,4677,27.19,122,6,22
RC Fredericks (WI),1968-1977,71,121,4645,40.74,169,9,27
Soumya Sarkar (BAN),2014-2025,182,190,4631,25.44,169,4,23
APE Knott (ENG),1967-1981,115,163,4589,31.86,135,5,31
GM Turner (NZ),1969-1983,82,113,4589,45.43,259,10,23
HA Gomes (WI),1976-1987,143,155,4586,35.55,143,10,19
Mohsin Khan (PAK),1977-1986,123,154,4586,32.06,200,9,17
AC Hudson (SA),1991-1998,124,151,4566,31.06,163,6,31
H Sutcliffe (ENG),1924-1935,54,84,4555,60.73,194,16,23
JV Coney (NZ),1974-1987,140,165,4542,34.4,174*,3,24
PBH May (ENG),1951-1961,66,106,4537,46.77,285*,13,22
ER Dexter (ENG),1958-1968,62,102,4502,47.89,205,9,27
M Vijay (IND),2008-2018,87,130,4490,34.8,167,12,16
DL Amiss (ENG),1966-1977,68,106,4471,46.57,262*,15,12
MP O'Dowd (NED),2015-2025,152,148,4462,32.56,158*,2,31
ED Weekes (WI),1948-1958,48,81,4455,58.61,207,15,19
RD Jacobs (WI),1996-2004,212,224,4442,25.97,118,3,23
HH Pandya (IND),2016-2025,229,183,4438,30.6,108,1,22
DJ Malan (ENG),2017-2023,114,129,4416,37.74,140,8,32
BJ Watling (NZ),2009-2021,108,146,4401,34.38,205,8,24
R Ashwin (IND),2010-2024,287,233,4394,23.62,124,6,15
Mehidy Hasan Miraz (BAN),2016-2025,204,214,4382,23.3,112*,4,16
NV Knight (ENG),1995-2003,117,130,4356,36.3,125*,6,29
SV Carlisle (ZIM),1995-2005,148,173,4355,27.38,121*,5,17
Imrul Kayes (BAN),2008-2019,131,167,4350,26.68,150,7,20
RL Chase (WI),2016-2025,175,197,4335,24.63,137*,5,21
SCJ Broad (ENG),2006-2023,344,338,4309,16.44,169,1,13
MA Butcher (ENG),1997-2004,71,131,4288,34.58,173*,8,23
KA Pollard (WI),2007-2022,224,196,4275,25.75,119,3,19
CS MacLeod (SCOT),2008-2022,152,147,4264,32.54,175,10,20
N Pooran (WI),2016-2024,167,155,4258,31.08,118,3,24
Asghar Afghan (AFG),2009-2021,195,186,4246,24.83,164,2,19
MJ Greatbatch (NZ),1988-1996,125,154,4227,29.35,146*,5,23
Imran Farhat (PAK),2001-2013,105,142,4195,30.39,128,4,27
SK Warne (AUS/ICC),1992-2007,339,306,4172,16.04,99,0,13
KIC Asalanka (SL),2021-2026,154,147,4122,31.95,127,5,23
V Sibanda (Afr/ZIM),2003-2016,167,180,4096,23.4,116,2,24
HT Tector (IRE),2019-2025,153,149,4083,31.89,140,5,26
E Lewis (WI),2016-2025,135,131,4061,33.28,176*,7,25
Rahmanullah Gurbaz (AFG),2019-2025,134,136,4052,30.01,151,9,18
SV Manjrekar (IND),1987-1996,111,131,4037,35.1,218,5,24
KWR Fletcher (ENG),1968-1982,83,118,4029,39.89,216,8,24
Ibrahim Zadran (AFG),2019-2025,105,113,4029,39.11,177,7,26
MG Erasmus (NAM),2019-2025,140,135,4011,35.18,125,3,30
RS Bopara (ENG),2007-2015,171,163,3981,30.38,143,4,17
Shoaib Mohammad (PAK),1983-1995,108,126,3974,35.16,203*,8,21
L Vincent (NZ),2001-2007,134,148,3919,28.6,224,6,20
Hanif Mohammad (PAK),1952-1969,55,97,3915,43.98,337,12,15
GP Howarth (NZ),1975-1985,117,148,3915,28.36,147,6,17
Asif Iqbal (PAK),1964-1980,68,107,3905,39.84,175,11,17
Najibullah Zadran (AFG),2012-2024,199,179,3890,29.24,104*,1,23
AW Greig (ENG),1972-1977,80,112,3868,36.83,148,8,20
FMM Worrell (WI),1948-1963,51,87,3860,49.48,261,9,22
Mushtaq Mohammad (PAK),1959-1979,67,109,3852,38.9,201,10,20
GD Phillips (NZ),2017-2025,144,139,3816,33.47,108,3,20
JA Rudolph (Afr/SA),2003-2012,94,123,3802,35.53,222*,6,18
CL Walcott (WI),1948-1960,44,74,3798,56.68,220,15,14
BE Congdon (NZ),1965-1978,72,123,3786,33.5,176,8,21
CO Obuya (KENYA),2001-2024,179,159,3786,27.43,98*,0,20
Z Crawley (ENG),2019-2026,72,125,3785,31.02,267,5,23
DJG Sammy (WI/World),2004-2017,232,220,3781,22.24,106,1,14
SO Tikolo (Afr/KENYA),1996-2014,150,145,3773,29.02,111,3,26
BA Edgar (NZ),1978-1986,103,132,3772,30.66,161,4,22
LMP Simmons (WI),2006-2021,144,148,3763,27.87,122,2,25
NLTC Perera (ICC/SL/World),2009-2021,256,217,3745,20.92,140,1,14
OJ Pope (ENG),2018-2025,64,113,3732,34.55,205,9,16
CR Woakes (ENG),2011-2025,217,204,3705,24.05,137*,1,13
BA Young (NZ),1990-1999,109,141,3702,28.04,267*,2,21
GJ Bailey (AUS/World),2012-2017,125,119,3700,36.63,156,3,25
RK Paudel (NEP),2018-2025,152,144,3637,28.86,126,2,19
PR Umrigar (IND),1948-1962,59,94,3631,42.22,223,12,14
Wasim Raja (PAK),1973-1985,111,137,3603,31.88,125,4,20
MH Cross (SCOT),2013-2025,193,167,3601,23.53,114,2,16
GN Yallop (AUS),1976-1984,69,97,3579,40.67,268,8,16
Harbhajan Singh (Asia/IND),1998-2016,367,286,3569,16,115,2,9
SA Yadav (IND),2021-2025,137,129,3569,32.44,117,4,25
BA King (WI),2019-2025,137,141,3566,26.61,112,3,24
VG Kambli (IND),1991-2000,121,118,3561,37.09,227,6,17
Agha Salman (PAK),2022-2026,111,121,3541,35.76,134,5,23
DW Randall (ENG),1976-1985,96,124,3537,31.02,174,7,17
AR Morris (AUS),1946-1955,46,79,3533,46.48,206,12,12
EH Hendren (ENG),1920-1935,51,83,3525,47.63,205*,7,21
